num_sources,num_mixtures,seed,source_index,pem_component_snr,mmse_component_snr,pem_overall_sinr,mmse_overall_sinr,input_snr,pem_execution_time
5,4,0,0,22.333433002109437,22.73901317748981,6.353933570673109,5.085924825522834,29.999912379020156,11.275281791000452
5,4,0,1,7.316794521975228,11.899327042975338,6.353933570673109,5.085924825522834,29.999912379020156,11.275281791000452
5,4,0,2,10.556105475388511,10.576543599840546,6.353933570673109,5.085924825522834,29.999912379020156,11.275281791000452
5,4,0,3,21.68523081291509,21.74524188074029,6.353933570673109,5.085924825522834,29.999912379020156,11.275281791000452
5,4,0,4,0.5824185677951189,0.3399711046612621,6.353933570673109,5.085924825522834,29.999912379020156,11.275281791000452
5,4,1,0,16.62982382664861,16.721837427243734,6.276234452420228,5.152754865429853,30.003658306753266,7.74784499999987
5,4,1,1,20.54427504347295,21.240355674794984,6.276234452420228,5.152754865429853,30.003658306753266,7.74784499999987
5,4,1,2,7.128080808218039,10.625005810590462,6.276234452420228,5.152754865429853,30.003658306753266,7.74784499999987
5,4,1,3,14.481646556222538,14.627192851425335,6.276234452420228,5.152754865429853,30.003658306753266,7.74784499999987
5,4,1,4,0.3588916564336586,0.35527819850948283,6.276234452420228,5.152754865429853,30.003658306753266,7.74784499999987
5,4,2,0,1.2090563494187907,11.854782633835633,3.1163939805375653,5.900223824188303,29.999146222353673,7.9013266660003865
5,4,2,1,1.574426194678381,1.4112895624698685,3.1163939805375653,5.900223824188303,29.999146222353673,7.9013266660003865
5,4,2,2,9.021333817843942,12.176325341113056,3.1163939805375653,5.900223824188303,29.999146222353673,7.9013266660003865
5,4,2,3,6.025067457672036,15.639800604271807,3.1163939805375653,5.900223824188303,29.999146222353673,7.9013266660003865
5,4,2,4,3.63953182898116,4.942529140159076,3.1163939805375653,5.900223824188303,29.999146222353673,7.9013266660003865
5,4,3,0,4.972383591153062,6.160589010667178,5.536911202485378,6.941955028710929,30.01190300857321,7.8293063750006695
5,4,3,1,1.5673448037265545,2.736804552262387,5.536911202485378,6.941955028710929,30.01190300857321,7.8293063750006695
5,4,3,2,9.029092679861176,11.30891014290836,5.536911202485378,6.941955028710929,30.01190300857321,7.8293063750006695
5,4,3,3,19.562214233050184,19.758673775533893,5.536911202485378,6.941955028710929,30.01190300857321,7.8293063750006695
5,4,3,4,7.754319006130343,8.246337985229946,5.536911202485378,6.941955028710929,30.01190300857321,7.8293063750006695
5,4,4,0,4.431297870712404,6.210340266856003,5.446810679841967,6.974507141562452,30.002619336552993,7.796596916999988
5,4,4,1,15.364382955719071,15.389810375849196,5.446810679841967,6.974507141562452,30.002619336552993,7.796596916999988
5,4,4,2,2.077869674907775,3.2859554348368025,5.446810679841967,6.974507141562452,30.002619336552993,7.796596916999988
5,4,4,3,26.124877433160997,26.320520674946483,5.446810679841967,6.974507141562452,30.002619336552993,7.796596916999988
5,4,4,4,4.128038471959043,5.808155236328866,5.446810679841967,6.974507141562452,30.002619336552993,7.796596916999988
5,4,5,0,2.536174058947444,4.1381439310761845,5.5071533253090195,6.996345521725966,29.99562592643937,7.761928833000638
5,4,5,1,14.64215599720642,18.03970029896,5.5071533253090195,6.996345521725966,29.99562592643937,7.761928833000638
5,4,5,2,6.254258906270098,7.2289677415713705,5.5071533253090195,6.996345521725966,29.99562592643937,7.761928833000638
5,4,5,3,9.089508631479212,9.325317820252266,5.5071533253090195,6.996345521725966,29.99562592643937,7.761928833000638
5,4,5,4,3.4734139288012362,5.353061555581666,5.5071533253090195,6.996345521725966,29.99562592643937,7.761928833000638
5,4,6,0,6.462612553824384,8.368999344175,5.1333323781489355,6.932166722996087,29.99931543337417,7.871858250000514
5,4,6,1,8.410517822266193,8.849015480793174,5.1333323781489355,6.932166722996087,29.99931543337417,7.871858250000514
5,4,6,2,12.62714091222511,12.679500410842673,5.1333323781489355,6.932166722996087,29.99931543337417,7.871858250000514
5,4,6,3,1.4494488144219986,3.1115362034105627,5.1333323781489355,6.932166722996087,29.99931543337417,7.871858250000514
5,4,6,4,5.263514641979507,7.114410910315309,5.1333323781489355,6.932166722996087,29.99931543337417,7.871858250000514
5,4,7,0,20.754772580076953,21.28425936656334,5.069324954184411,5.379824617272674,29.994420419214613,7.79586529199878
5,4,7,1,7.871969803439244,7.945779402692552,5.069324954184411,5.379824617272674,29.994420419214613,7.79586529199878
5,4,7,2,7.228745899442828,12.49917408516277,5.069324954184411,5.379824617272674,29.994420419214613,7.79586529199878
5,4,7,3,12.098412635373554,12.211182616157748,5.069324954184411,5.379824617272674,29.994420419214613,7.79586529199878
5,4,7,4,0.6876840441263419,0.6260522645979115,5.069324954184411,5.379824617272674,29.994420419214613,7.79586529199878
5,4,8,0,3.1332648076356335,3.2854747015677574,3.445625492337884,6.841878312180603,29.990187381339087,8.001677666999967
5,4,8,1,3.445541727035027,13.24933725599938,3.445625492337884,6.841878312180603,29.990187381339087,8.001677666999967
5,4,8,2,4.865534654181143,15.873457489200051,3.445625492337884,6.841878312180603,29.990187381339087,8.001677666999967
5,4,8,3,3.7023925256167116,4.6003305075117265,3.445625492337884,6.841878312180603,29.990187381339087,8.001677666999967
5,4,8,4,2.482405711286044,8.347064364921819,3.445625492337884,6.841878312180603,29.990187381339087,8.001677666999967
5,4,9,0,2.811780826907955,3.555708876256415,5.505359963838121,6.928091772630559,29.995168333536032,7.778883917000712
5,4,9,1,10.683723634729503,12.097599226815916,5.505359963838121,6.928091772630559,29.995168333536032,7.778883917000712
5,4,9,2,13.247923370361544,13.36986923933626,5.505359963838121,6.928091772630559,29.995168333536032,7.778883917000712
5,4,9,3,3.119977188367108,4.390831961811105,5.505359963838121,6.928091772630559,29.995168333536032,7.778883917000712
5,4,9,4,5.810832732915215,9.956321920019647,5.505359963838121,6.928091772630559,29.995168333536032,7.778883917000712
5,3,0,0,11.24843081538101,14.554568992794124,2.578451859708109,2.0205466811450936,29.995506298297077,7.83572416700008
5,3,0,1,8.187840423989181,8.647897984517511,2.578451859708109,2.0205466811450936,29.995506298297077,7.83572416700008
5,3,0,2,0.679909134373619,0.4834852446562644,2.578451859708109,2.0205466811450936,29.995506298297077,7.83572416700008
5,3,0,3,11.136866719194023,12.038498382158096,2.578451859708109,2.0205466811450936,29.995506298297077,7.83572416700008
